"id","object","sdh_knuckle_joint","sdh_finger_12_joint","sdh_finger_13_joint","sdh_finger_22_joint","sdh_finger_23_joint","sdh_thumb_2_joint","sdh_thumb_3_joint","direction","qw","qx","qy","qz","pos-x","pos-y","pos-z","eps_l1","vol_l1","indicee"
"152","fanta-small","0.0","-0.447796309311","1.28900002211","-0.463796310071","1.28800002206","-0.164796305648","1.02400001604","SIDE","-0.449057037245","-0.00454191908528","0.893491549077","-2.1113929752e-16","125.166660669","137.224590282","95.1761178424","0.009340953","0.000039430","672"
"153","fanta-small","0.0","-1.57079632679","1.57079632679","-0.688796310979","1.57079632679","-0.349796307916","1.57079632679","SIDE","-0.363675322412","0.111373573032","0.924843871742","1.57558239217e-16","87.9380054494","61.7200998001","98.8131312446","0.000022089","0.000001858","673"
"154","fanta-small","0.0","-0.453796309596","1.24400001997","-0.499796308521","1.27100002125","-0.134796304223","0.942000015406","SIDE","0.389469053639","-0.0172174948202","0.920878609877","-1.38457093168e-16","-115.21052833","134.997694367","111.212487472","0.007866235","0.000031257","676"
"157","fanta-small","0.0","-0.938796316334","1.57079632679","-1.57079632679","1.57079632679","-0.271796304211","1.57079632679","SIDE","0.999990431264","0.000749834892556","0.00430988718746","-2.15279718664e-16","-1.47667602955","136.861169306","-133.759049926","0.000016232","0.000004504","683"
"158","fanta-small","0.755","-0.414796307744","1.57079632679","0.0122036994991","-1.86111747872e-15","-0.630796311484","0.0","SIDE","-0.488533923891","0.243098581613","0.680861432329","-0.488533923891","142.651885041","256.889752429","6.13291529807","0.000116484","0.000013254","685"
"159","fanta-small","0.0","-0.877796313437","1.57079632679","-1.57079632679","1.57079632679","-0.330796307014","1.57079632679","SIDE","-0.355557543566","-0.0633060280941","0.932508005339","2.49277158427e-16","86.8970875187","141.291353454","100.298255393","0.000032319","0.000004085","686"
"160","fanta-small","0.755","-0.210796304574","0.385000008508","-0.274796304354","0.38800000865","-0.083796301801","0.219000003883","TOP","-3.85785832773e-17","-0.0356168653689","0.719455543925","-0.693624652976","-4.28246127032","307.72670553","2.56726303894","0.014560181","0.000110399","693"
"161","fanta-small","0.0","-0.454796309644","1.2930000223","-0.478796307524","1.28900002211","-0.155796305221","1.01600001566","SIDE","0.999990431264","0.000749834892556","0.00430988718746","-2.15279718664e-16","-1.69061678237","136.898390754","-158.578099946","0.007792779","0.000030231","695"
"162","fanta-small","0.0","-0.495796308331","1.26900002116","-0.481796307666","1.26500002097","-0.119796303511","0.932000014931","SIDE","4.80523918495e-17","0.893491549077","0.00454191908528","-0.449057037245","126.129609532","137.229485276","95.8921525526","0.008841018","0.000036072","696"
"163","fanta-small","0.0","-0.368796308819","1.33200002089","-0.478796307524","1.28600002197","-0.240796305998","1.18100002024","SIDE","-6.40548590578e-17","0.866618895862","0.0658938127291","0.494600540618","-132.355556302","81.9109262575","82.9324136696","0.010828168","0.000044182","697"
"164","fanta-small","0.0","-0.439796308931","1.24000001978","-0.471796307191","1.28300002182","-0.152796305078","0.975000016973","SIDE","0.944127154538","-0.0078581861009","-0.329487731144","9.5543932104e-17","98.5985894181","134.820074559","-124.527934554","0.008303787","0.000036188","700"
"165","fanta-small","0.0","-0.728796312879","1.57079632679","-1.57079632679","1.57079632679","-0.344796307679","1.57079632679","SIDE","-3.76950642397e-17","0.98942807197","0.144221360492","-0.0152410490282","2.57659623831","110.437280622","136.993936602","0.000006138","0.000003734","705"
"166","fanta-small","0.0","-0.443796309121","1.26400002092","-0.473796307286","1.28300002182","-0.157796305316","1.00700001523","SIDE","0.930055594158","0.000841220135113","-0.367417860376","4.8727894434e-17","107.993243177","136.907239743","-115.555264296","0.008451827","0.000038833","708"
"167","fanta-small","0.755","-1.08879631694","0.635000010603","-0.328796306919","1.57079632679","-0.0437963031607","0.654000011506","SIDE","3.89848409785e-17","0.652896923161","-0.258536626856","0.711958159094","-121.660081826","224.136974084","-1.69729868291","0.007370429","0.000055627","711"
"168","fanta-small","0.0","-0.510796309044","1.26200002083","-0.412796307649","1.13700001815","-0.174796302864","0.922000014456","SIDE","0.379674242677","0.0367726751393","0.924389117099","1.0696711623e-16","-114.442097311","113.584447798","114.022117107","0.004424536","0.000012159","712"
"169","fanta-small","0.0","-0.516796309329","1.05700001761","-0.558796311324","1.24600002007","-0.0347963027332","0.586000011535","SIDE","0.994325807143","-0.0373630809965","-0.0996001477285","-3.04436678987e-16","25.9196227733","60.0249101625","-162.064110802","0.011380732","0.000035603","714"
"170","fanta-small","0.0","-0.993796315687","1.57079632679","-0.950796316904","1.57079632679","-0.200796304099","1.57079632679","SIDE","4.7567014154e-17","0.893491549077","0.00454191908528","-0.449057037245","106.1403973","137.127873364","81.0284662875","0.000604771","0.000006852","715"
"171","fanta-small","0.755","-0.207796304431","0.747000012663","-0.616796310819","0.0670000031823","-0.788796312469","1.57079632679","SIDE","0.499422485015","-0.299472264885","0.641459839341","-0.499422485015","-154.874854787","223.23389238","0.0682479004426","0.007918586","0.000030661","717"
"172","fanta-small","0.0","-0.778796311994","1.57079632679","-0.982796315165","1.57079632679","-0.478796307524","1.57079632679","SIDE","-5.60480016756e-17","0.866618895862","0.0658938127291","0.494600540618","-111.001201013","83.5346156267","70.2098650635","0.000022229","0.000004484","720"
"173","fanta-small","0.0","-0.926796315764","1.57079632679","-1.57079632679","1.57079632679","-0.232796305618","1.57079632679","SIDE","-9.12424785863e-17","0.893575061026","0.0265619581893","-0.448127295185","106.882466731","112.435299289","81.6186387416","0.000072229","0.000004337","721"
"174","fanta-small","0.0","-0.460796309929","1.28100002173","-0.479796307571","1.27000002121","-0.145796304746","0.994000017876","SIDE","0.923374138198","-0.00198059942827","0.383896181452","-1.9773095032e-16","-113.507281527","136.245557661","-112.30643824","0.008478869","0.000039662","724"
"175","fanta-small","0.0","-0.458796309834","1.28300002182","-0.477796307476","1.27100002125","-0.147796304841","0.998000018066","SIDE","0.923374138198","-0.00198059942827","0.383896181452","-1.97848367749e-16","-113.326145355","136.245923427","-112.346733765","0.008486494","0.000038367","725"
"176","fanta-small","0.0","-0.819796313942","1.57079632679","-0.915796315242","1.57079632679","-0.427796308361","1.57079632679","SIDE","2.61402645482e-16","0.666294590489","0.0601859781871","0.743255788215","-131.457517919","81.0907745177","-10.6575846388","0.000095244","0.000005067","726"
"177","fanta-small","0.0","-0.387796306461","1.33800002118","-0.452796309549","1.21600001864","-0.222796305144","1.13000001782","SIDE","2.61402645482e-16","0.666294590489","0.0601859781871","0.743255788215","-156.129742555","78.8621477287","-13.2696057246","0.004475163","0.000016203","727"
"178","fanta-small","0.0","-0.380796306129","1.30800001975","-0.565796311656","0.831000013393","-0.152796305078","1.01100001542","SIDE","0.698734484457","0.182535379435","-0.691701493049","-7.94452720828e-17","152.363410868","188.671451703","2.7033915787","0.006727988","0.000040381","728"
"179","fanta-small","2.22044604925e-16","-0.544796310659","1.57079632679","-0.304796305779","0.760000013281","-0.182796303244","0.478000009665","SIDE","0.706290051662","0.24182173298","0.665339471534","-7.85954029801e-17","-157.036499111","224.019555337","0.073557970219","0.003890755","0.000023774","729"
"180","fanta-small","2.77555756156e-16","-0.879796313532","1.57079632679","-1.57079632679","1.57079632679","-0.278796304544","1.57079632679","SIDE","2.39082475815e-16","-0.387840779464","-0.0212812927789","0.921480676066","95.5092043087","114.025064109","-95.1859812403","0.000017733","0.000004339","731"
"181","fanta-small","0.755","-0.236796305808","1.38500002341","-0.533796310136","1.19000002067","-0.346796307774","1.18800002057","SIDE","0.974365131247","0.0979964481888","-0.202507499005","-1.3530757613e-16","67.6221413121","180.045352844","-134.109772145","0.009404581","0.000038498","732"
"182","fanta-small","0.0","-0.437796308836","1.19100002071","-0.486796307904","1.30200001947","-0.164796305648","0.955000016023","SIDE","2.37199936635e-16","-0.387840779464","-0.0212812927789","0.921480676066","113.314263691","115.002049258","-112.579470264","0.010502772","0.000044287","735"
"183","fanta-small","0.0","-1.13079631893","1.57079632679","-0.486796307904","1.57079632679","-0.294796305304","1.44800002314","SIDE","0.706290051662","0.24182173298","0.665339471534","-7.85954029801e-17","-133.624952701","215.510484454","0.0160476094112","0.002346926","0.000031563","740"
"184","fanta-small","0.0","-0.465796310166","1.21700001869","-0.520796309519","1.27900002163","-0.138796304413","0.931000014883","SIDE","-9.12424785863e-17","0.893575061026","0.0265619581893","-0.448127295185","126.832157121","113.028313647","96.5238823602","0.012062217","0.000041867","742"
"185","fanta-small","0.0","-0.964796317569","1.57079632679","-1.47679632233","1.57079632679","-0.240796305998","1.57079632679","SIDE","4.34416113017e-17","0.938409061356","0.0179839073335","-0.345057984464","85.7717101253","111.245969814","102.573507458","0.000059203","0.000004607","743"
"186","fanta-small","0.0","-0.377796305986","1.09600001946","-0.639796311911","1.2320000194","-0.200796304099","0.939000015263","SIDE","-3.76950642397e-17","0.98942807197","0.144221360492","-0.0152410490282","3.32787794013","110.546789208","161.892363936","0.010408523","0.000038955","750"
"187","fanta-small","0.0","-1.0087963164","1.57079632679","-0.884796313769","1.57079632679","-0.283796304781","1.57079632679","SIDE","-0.445460980258","0.0326753429936","0.894704888233","2.53992996285e-16","105.260018013","87.0514968619","80.3019230377","0.002505058","0.000011095","751"
"188","fanta-small","0.0","-0.0367963028282","1.31500002008","-1.49679632328","1.57079632679","-0.998796315925","0.0","SIDE","0.508887830809","0.643389452928","0.260991117033","0.508887830809","-122.809878987","240.606369798","-4.29167306486","0.008188241","0.000047509","752"
"189","fanta-small","0.0","-1.00979631645","1.57079632679","-0.949796316857","1.57079632679","-0.253796306616","1.57079632679","SIDE","0.433590267132","0.00571475129704","0.901092016315","7.70053865563e-18","-105.716286654","110.481384584","83.6450533549","0.000494093","0.000008887","754"
"190","fanta-small","0.0","-0.495796308331","1.26000002073","-0.430796308504","1.30600001966","-0.161796305506","1.0190000158","SIDE","-0.445460980258","0.0326753429936","0.894704888233","2.53992996285e-16","125.11608374","86.3263373521","95.3258671784","0.014122449","0.000043679","755"
"191","fanta-small","0.0","-0.468796310309","1.2530000204","-0.500796308569","1.28100002173","-0.139796304461","0.962000016356","SIDE","4.34416113017e-17","0.938409061356","0.0179839073335","-0.345057984464","101.903702094","111.555127366","121.551688528","0.009312271","0.000038947","756"
"192","fanta-small","0.755","-0.312796306159","0.593000011868","-0.571796308682","1.57079632679","-0.177796303006","0.646000011126","SIDE","1.14108362087e-16","-0.637120629919","-0.248176323513","0.72971625676","148.180138062","238.505478417","-9.24477148241","0.008687034","0.000021010","758"
"193","fanta-small","0.0","-0.960796317379","1.57079632679","-0.970796314595","1.57079632679","-0.267796307281","1.57079632679","SIDE","-1.71141723475e-17","0.704428654202","0.0185382588209","0.709532665984","-134.589664225","107.293548014","-0.946511748433","0.000234688","0.000004750","759"
"194","fanta-small","0.0","-0.868796316269","1.57079632679","-0.709796311977","1.57079632679","-0.235796305761","1.57079632679","SIDE","0.92138218405","0.13311284011","0.365151807763","4.51857699705e-17","-92.6464657641","183.237170695","-94.5901732254","0.000865940","0.000005908","760"
"195","fanta-small","0.755","-0.859796315842","1.57000632679","0.000203698929172","1.2130000185","-1.02379631711","0.326000005705","SIDE","0.515987313497","-0.275025156564","-0.625999479135","0.515987313497","124.924975652","229.446941559","-7.61983099672","0.011729094","0.000114912","761"
"196","fanta-small","0.0","-0.924796315669","1.57079632679","-0.961796317427","1.57079632679","-0.268796307328","1.57079632679","SIDE","0.945735994488","-0.00853830116383","-0.324823838631","-6.55747107307e-17","82.060216283","108.326834127","-105.553077889","0.000791299","0.000005920","764"
"197","fanta-small","0.755","-0.489796308046","1.57079632679","-0.464796310119","1.57079632679","-1.57079632679","1.57079632679","SIDE","0.696752572079","0.130566260353","0.109654722924","-0.696752572079","2.69935888476","214.63271872","-132.673813479","0.001999134","0.000007018","765"
"198","fanta-small","0.0","-0.967796317712","1.57079632679","-0.99679631583","1.57079632679","-0.232796305618","1.57079632679","SIDE","0.702323095497","0.000505436888772","-0.711858141813","-3.95196680753e-17","133.162953606","110.04637712","1.12908758474","0.000651604","0.000005664","766"
"199","fanta-small","0.0","-1.00079631602","1.57079632679","-1.01679631678","1.57079632679","-0.216796304859","1.57079632679","SIDE","1.22241622019e-16","0.394537404219","0.00551357155271","0.918863339785","-97.2618653134","108.939547745","-93.3645832027","0.001050511","0.000005503","769"
"200","fanta-small","1.66533453694e-16","-0.981796315117","1.57079632679","-0.997796315877","1.57079632679","-0.236796305808","1.57079632679","SIDE","1.22241622019e-16","0.394537404219","0.00551357155271","0.918863339785","-97.5576382733","108.941574233","-92.7627555903","0.001064320","0.000005410","770"
"201","fanta-small","0.755","-0.097796302466","0.0","-0.0537963036357","0.0790000037523","-0.149796304936","0.0870000041323","TOP","0.693624652976","0.719455543925","0.0356168653689","-1.70064884315e-16","-5.51325121195","332.588484851","3.50810580676","0.003770299","0.000004871","771"
"202","fanta-small","0.0","-0.386796306414","0.724000011571","-0.273796304306","1.57079632679","-0.0407963030182","0.605000009178","SIDE","2.36577993723e-16","-0.00887433299876","-0.221010190987","0.975231122193","1.74515769902","255.162352291","-140.235032472","0.005550884","0.000016973","772"
"203","fanta-small","0.0","-1.57079632679","1.57079632679","-0.099796302561","1.39700002398","-1.01279631659","0.295000007492","SIDE","0.515987313497","-0.275025156564","-0.625999479135","0.515987313497","125.575859886","229.700479191","-7.66531114109","0.009607099","0.000052076","773"
